the_geom,the_geom_webmercator,objectid,year,dc_key,code,date_,time,race,sex,age,wound,officer_involved,offender_injured,offender_deceased,location,latino,point_x,point_y,dist,inside,outside,fatal,lat,lng
0101000020E61000000346F2F0B9CD52C03B0554933BFC4340,0101000020110F0000D77A2F3C99F05FC19204308FB88B5241,1303699,2017,201716043661.0,0411,2017-10-25,05:45:00,B,M,27,multi,N,N,N,4600 BLOCK Lancaster Ave,0,-75.21447395,39.9705681,16,0,1,0,39.9705681,-75.21447395
0101000020E610000007D30F6E9BCD52C0B04A965134FC4340,0101000020110F000031AE9C6865F05FC16DAE6E84B08B5241,1303700,2017,201716045740.0,0111,2017-11-09,10:59:00,B,M,30,head,N,N,N,4500 BLOCK Merion St,0,-75.21261169,39.97034664,16,0,1,1,39.97034664,-75.21261169
0101000020E6100000943C4B4E356554C07295BC74726B3C40,0101000020110F0000087D84B05F5261C1A18D6E0935314941,1303701,2017,201716045947.0,0411,2017-11-10,22:22:00,B,M,20,leg,N,N,N,43rd st & Brown Sts ,0,-81.58137853,28.41971521,16,0,1,0,28.41971521,-81.58137853
0101000020E610000030C933F55BCC52C0C0FF5E23ACFA4340,0101000020110F00004259CCC046EE5FC18C63B2F0FD895241,1303702,2017,201716048148.0,0111,2017-11-28,23:40:00,W,M,21,chest,N,N,N,3500 BLOCK Lancaster Ave,0,-75.19311266,39.95837824,16,0,1,1,39.95837824,-75.19311266
0101000020E6100000D7F9D8D9A7CD52C0B08D99C004FC4340,0101000020110F00008C50CC817AF05FC1B98004CE7B8B5241,1303703,2017,201716048801.0,0411,2017-12-04,01:00:00,B,M,58,knee,N,N,N,4500 BLOCK Laird St,0,-75.21336981,39.96889503,16,0,1,0,39.96889503,-75.21336981
0101000020E610000032BAEE735DCC52C0A424FB5285FB4340,0101000020110F0000AF70E74A49EE5FC11ADD7A98EE8A5241,1303704,2017,201716048856.0,0411,2017-12-04,13:43:00,B,M,25,leg,N,N,N,600 BLOCK N 35th St,0,-75.19320391,39.96500623,16,0,1,0,39.96500623,-75.19320391
0101000020E61000001D9C3EF152CE52C046DD9C84B1FB4340,0101000020110F0000753C7B1F9DF15FC1E0FE68911F8B5241,1303705,2017,201716051191.0,0411,2017-12-21,19:41:00,B,F,33,arms,N,N,N,5100 BLOCK Reno St,0,-75.2238124,39.96635492,16,0,1,0,39.96635492,-75.2238124
0101000020E61000009CB96EE70ECC52C0A9DFBF5863FB4340,0101000020110F000012E397DEC3ED5FC17E39E9F1C88A5241,1303706,2017,201716051555.0,0411,2017-12-24,21:22:00,B,M,22,arm,N,N,N,500 BLOCK N 32ND ST,0,-75.18840967,39.96396932,16,1,0,0,39.96396932,-75.18840967
0101000020E6100000B6355CC310CC52C01CE4DCC331F74340,0101000020110F00007F1D0107C7ED5FC1B1E28B9823865241,1303707,2017,201717004409.0,0411,2017-02-08,17:40:00,B,M,17,stomach,N,N,N,1700 BLOCK S 26th St,0,-75.18852314,39.93120621,17,0,1,0,39.93120621,-75.18852314
0101000020E6100000C088C78F02CB52C05EEEF6CD3BF74340,0101000020110F000076211D10FCEB5FC135561DB72E865241,1303708,2017,201717005130.0,0111,2017-02-15,11:42:00,B,M,17,chest,N,N,N,1500 BLOCK S Bancroft St,0,-75.17203135,39.93151259,17,0,1,1,39.93151259,-75.17203135
