the_geom,the_geom_webmercator,objectid,year,dc_key,code,date_,time,race,sex,age,wound,officer_involved,offender_injured,offender_deceased,location,latino,point_x,point_y,dist,inside,outside,fatal,lat,lng
0101000020E6100000176DE92C0ECA52C035DF149846084440,0101000020110F0000999CC9F25CEA5FC1CFCE2D8813995241,7427314,2015,201514050879.0,411,2015-06-29 00:00:00+00,22:15:00,B,M,32,Stomach,N,N,N,7300 BLOCK Thouron Ave,0,-75.1571152,40.06465436,14,0,1,0,40.06465436,-75.1571152
0101000020E6100000176DE92C0ECA52C035DF149846084440,0101000020110F0000999CC9F25CEA5FC1CFCE2D8813995241,7427315,2015,201514050850.0,2701,2015-06-29 00:00:00+00,22:15:00,B,M,46,Leg,N,N,N,7300 BLOCK Thouron Ave,0,-75.1571152,40.06465436,14,0,1,0,40.06465436,-75.1571152
0101000020E61000007F6694573CC552C054B0BE682C034440,0101000020110F000065BE87282DE25FC1FEB602706A935241,7427316,2015,201514055737.0,3412,2015-06-11 00:00:00+00,17:26:00,B,F,41,Stomach,N,N,N,5200 BLOCK Akron St,0,-75.08180799,40.02479276,14,0,1,0,40.02479276,-75.08180799
0101000020E61000007F6694573CC552C054B0BE682C034440,0101000020110F000065BE87282DE25FC1FEB602706A935241,7427317,2015,201514055731.0,3113,2015-06-11 00:00:00+00,17:26:00,B,M,42,Arm,N,N,N,5200 BLOCK Akron St,0,-75.08180799,40.02479276,14,0,1,0,40.02479276,-75.08180799
0101000020E6100000E198A76B94CA52C0EE4F35BC51074440,0101000020110F0000839728FA40EB5FC152A58CD103985241,7427318,2015,201514041212.0,1101,2015-07-01 00:00:00+00,03:17:00,B,M,19,Leg,N,N,N,6200 BLOCK Crittenden St,0,-75.16530887,40.05718186,14,0,1,0,40.05718186,-75.16530887
0101000020E610000036FC762B2ECA52C023019B5A53064440,0101000020110F0000FD15444B93EA5FC127FDE991E9965241,7427319,2015,201514093638.0,411,2015-11-15 00:00:00+00,19:40:00,B,M,33,Leg,N,N,N,1100 BLOCK Woodlawn St,0,-75.15906798,40.04941876,14,0,1,0,40.04941876,-75.15906798
0101000020E610000036FC762B2ECA52C023019B5A53064440,0101000020110F0000FD15444B93EA5FC127FDE991E9965241,7427320,2015,201514093639.0,411,2015-11-15 00:00:00+00,19:40:00,B,F,15,Leg,N,N,N,1100 BLOCK Woodlawn St,0,-75.15906798,40.04941876,14,0,1,0,40.04941876,-75.15906798
0101000020E610000036FC762B2ECA52C023019B5A53064440,0101000020110F0000FD15444B93EA5FC127FDE991E9965241,7427321,2015,201514093645.0,411,2015-11-15 00:00:00+00,19:40:00,B,F,21,Leg,N,N,N,1100 BLOCK Woodlawn St,0,-75.15906798,40.04941876,14,0,1,0,40.04941876,-75.15906798
0101000020E610000036FC762B2ECA52C023019B5A53064440,0101000020110F0000FD15444B93EA5FC127FDE991E9965241,7427322,2015,201514093646.0,411,2015-11-15 00:00:00+00,19:40:00,B,F,26,Arm,N,N,N,1100 BLOCK Woodlawn St,0,-75.15906798,40.04941876,14,0,1,0,40.04941876,-75.15906798
0101000020E6100000E43E83976AC952C00272D3B0A9084440,0101000020110F000051A0CF1547E95FC1809E5E8181995241,7427323,2015,201514094634.0,411,2015-11-19 00:00:00+00,01:50:00,B,M,24,Arm,N,N,N,1900 BLOCK W Cheltenham Ave,0,-75.14713085,40.06767855,14,0,1,0,40.06767855,-75.14713085
0101000020E610000051A6B0D6F9CA52C0B2D49BCDBA034440,0101000020110F0000619BFC3EEDEB5FC11542A55E08945241,7427324,2015,201514099680.0,411,2015-12-06 00:00:00+00,02:40:00,B,M,34,Multiple,N,N,N,5300 BLOCK Knox St,0,-75.17149894,40.02913828,14,0,1,0,40.02913828,-75.17149894
0101000020E6100000E6EFF7EE43CB52C006367C4596094440,0101000020110F00008037841A6BEC5FC12A699812889A5241,7427325,2015,201514104061.0,111,2015-12-21 00:00:00+00,00:04:00,B,M,58,Leg,N,N,N,8300 BLOCK Gilbert St,0,-75.17602133,40.07489842,14,1,0,0,40.07489842,-75.17602133
0101000020E6100000E6EFF7EE43CB52C006367C4596094440,0101000020110F00008037841A6BEC5FC12A699812889A5241,7427326,2015,201514104061.0,111,2015-12-21 00:00:00+00,00:04:00,B,M,51,Stomach,N,N,N,8300 BLOCK Gilbert St,0,-75.17602133,40.07489842,14,1,0,0,40.07489842,-75.17602133
0101000020E6100000E6EFF7EE43CB52C006367C4596094440,0101000020110F00008037841A6BEC5FC12A699812889A5241,7427327,2015,201514104061.0,111,2015-12-21 00:00:00+00,00:04:00,B,M,51,Chest,N,N,N,8300 BLOCK Gilbert St,0,-75.17602133,40.07489842,14,1,0,1,40.07489842,-75.17602133
0101000020E61000002054569199CB52C0173F32C200074440,0101000020110F00000AA2DD8FFCEC5FC1FE1BAFF7A9975241,7427328,2015,201514104683.0,111,2015-12-22 00:00:00+00,23:04:00,B,M,47,Multiple,N,N,N,6600 BLOCK Crowson St,0,-75.18124803,40.05471065,14,0,1,1,40.05471065,-75.18124803
0101000020E6100000D6DD022A98CA52C04AA88DA858044440,0101000020110F00006D07065647EB5FC1C5024876B7945241,7427329,2015,201514105027.0,411,2015-12-23 00:00:00+00,22:15:00,B,M,18,Leg,N,N,N,200 BLOCK Bringhurst St,0,-75.16553736,40.03395565,14,0,1,0,40.03395564,-75.16553736
0101000020E610000081BBA24A83CB52C0BA48678172074440,0101000020110F00009ED940B9D6EC5FC1E1D75F2E28985241,7427330,2015,201514105035.0,111,2015-12-23 00:00:00+00,22:58:00,B,M,37,Multiple,N,N,N,400 BLOCK Vernon Rd,0,-75.1798884,40.05818193,14,0,1,1,40.05818193,-75.1798884
0101000020E6100000A2EBC20F8ECA52C0F63D4DDA92074440,0101000020110F0000CB9D042D36EB5FC14D332A134C985241,7427331,2015,201514105146.0,411,2015-12-24 00:00:00+00,11:53:00,B,M,32,Arm,N,N,N,6300 BLOCK Stenton Ave,0,-75.16492075,40.05916909,14,0,1,0,40.05916909,-75.16492075
0101000020E6100000FC4087339EC952C01ADBAD5DC1084440,0101000020110F000099C7BFBF9EE95FC1F9F7A3C79B995241,7427332,2015,201514984952.0,,2015-10-15 00:00:00+00,20:40:00,W,F,22,Neck,N,N,N,1900 BLOCK Renovo St,0,-75.15028084,40.06840106,14,0,1,0,40.06840106,-75.15028084
0101000020E61000008D514B310FC252C0488556CC2D044440,0101000020110F0000E59A25F1C7DC5FC15D09A3EB87945241,7427333,2015,201515003047.0,111,2015-01-10 00:00:00+00,17:15:00,W,M,40,Multiple,N,N,N,4600 BLOCK Vista St,1,-75.03217728,40.03264765,15,1,0,1,40.03264765,-75.03217728
0101000020E61000008D514B310FC252C0488556CC2D044440,0101000020110F0000E59A25F1C7DC5FC15D09A3EB87945241,7427334,2015,201515003062.0,111,2015-01-10 00:00:00+00,17:15:00,A,M,40,Head,N,N,N,4600 BLOCK Vista St,0,-75.03217728,40.03264765,15,1,0,1,40.03264765,-75.03217728
0101000020E61000008D514B310FC252C0488556CC2D044440,0101000020110F0000E59A25F1C7DC5FC15D09A3EB87945241,7427335,2015,201515003063.0,111,2015-01-10 00:00:00+00,17:15:00,W,M,30,Multiple,N,N,N,4600 BLOCK Vista St,0,-75.03217728,40.03264765,15,1,0,1,40.03264765,-75.03217728
0101000020E61000009CCBC3F8DFC552C0AEE907961F014440,0101000020110F00008BC5861943E35FC118909D6E24915241,7427336,2015,201515005298.0,411,2015-01-18 00:00:00+00,00:00:00,B,F,31,Stomach,N,N,N,1500 BLOCK Adams Ave,0,-75.09179515,40.00877643,15,0,1,0,40.00877643,-75.09179515
0101000020E6100000C825D058E2C552C07ACC59021D014440,0101000020110F0000388B5B2247E35FC11A56259321915241,7427337,2015,201515005299.0,111,2015-01-18 00:00:00+00,00:00:00,B,M,35,Multiple,N,N,N,1500 BLOCK Adams Ave,0,-75.09194012,40.00869779,15,1,0,1,40.00869779,-75.09194012
0101000020E6100000E9FCA92B7EC552C0E123079131024440,0101000020110F00006AC47DF99CE25FC17FFD463F54925241,7427338,2015,201515005495.0,411,2015-01-18 00:00:00+00,20:13:00,B,M,47,Multiple,N,N,N,4600 BLOCK N Penn St,0,-75.08582584,40.01713766,15,0,1,0,40.01713765,-75.08582584
0101000020E61000005B23827170C552C09C6D6E4C4F024440,0101000020110F0000662158A885E25FC1B1A4153875925241,7427339,2015,201515005776.0,412,2015-01-19 00:00:00+00,20:25:00,B,M,24,Leg,N,N,N,4700 BLOCK N Penn St,0,-75.084988,40.018045,15,0,1,0,40.018045,-75.084988
,,7427340,2015,201515006801.0,411,2015-01-22 00:00:00+00,22:45:00,B,M,26,Leg,N,N,N,4800 BLOCK Jackson St,0,,,15,0,1,0,,
0101000020E610000076B99060CDC152C02969B40B3C044440,0101000020110F00001AABE22558DC5FC16A8E5BB997945241,7427341,2015,201515008603.0,411,2015-01-28 00:00:00+00,16:50:00,B,M,21,Multiple,N,N,N,4700 BLOCK Meridian St,0,-75.02816023,40.03308245,15,0,1,0,40.03308245,-75.02816023
0101000020E610000099458BE0FDC352C0954E1C2722044440,0101000020110F000009FFA73610E05FC10009D4007B945241,7427342,2015,201515014410.0,411,2015-02-15 00:00:00+00,22:00:00,B,M,21,Head,N,N,N,2900 BLOCK Passmore St,0,-75.06237043,40.03229226,15,0,1,0,40.03229226,-75.06237043
0101000020E610000045C67AD590C452C071DABE0DD2014440,0101000020110F00006BDC99D509E15FC1F13B5554EA915241,7427343,2015,201515015213.0,3412,2015-02-18 00:00:00+00,21:55:00,B,M,22,Leg,N,N,N,5100 BLOCK Ditman St,0,-75.07133996,40.01422283,15,0,1,0,40.01422283,-75.07133996
0101000020E6100000A53716F337C252C05574B9FBFB044440,0101000020110F00003757FE2B0DDD5FC19AE35FA26C955241,7427344,2015,201515020797.0,411,2015-03-08 00:00:00+00,17:34:00,B,M,19,Arm,N,N,N,7600 BLOCK Frankford Ave,0,-75.03466489,40.03893992,15,0,1,0,40.03893992,-75.03466489
0101000020E6100000C9A42B7D4DC752C01CB987E799024440,0101000020110F0000A66BACF7AFE55FC19109E1F4C7925241,7427345,2015,201515021685.0,2702,2015-03-21 00:00:00+00,10:57:00,W,M,22,Multiple,N,N,N,4700 BLOCK Whitaker St,1,-75.11410455,40.02032179,15,0,1,0,40.02032179,-75.11410455
0101000020E6100000C36AA828C9C352C099C2DE1F4A024440,0101000020110F0000D41889AAB6DF5FC1E3022E7B6F925241,7427346,2015,201515022809.0,411,2015-03-13 00:00:00+00,20:45:00,B,M,36,Multiple,N,N,N,6000 BLOCK Torresdale Ave,0,-75.05915276,40.0178871,15,1,0,0,40.0178871,-75.05915276
