"COU","Country","IND","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","CWB8A","Adolescents (15-year-olds) who report talking to their parents before or after school (%)","2015","2015",96.7,,
"AUS","Australia","CWB16","Adolescents (15-year-olds) skipping either breakfast or dinner (%)","2015","2015",22.1,,
"AUS","Australia","CWB17A","Adolescents (15-year-olds) who report doing no physical activity outside of school (%)","2015","2015",6.5,,
"AUS","Australia","CWB17B","Adolescents (15-year-olds) who report regularly engaging in vigorous physical activity outside of school (%)","2015","2015",52.5,,
"AUS","Australia","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2014","2014",85.3,,
"AUS","Australia","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2015","2015",86.5,,
"AUS","Australia","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2016","2016",84.7,,
"AUS","Australia","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2017","2017",84,,
"AUS","Australia","CWB27","Adolescents (15-year-olds) with parents interested in and supportive of their education (%)","2015","2015",92.7,,
"AUS","Australia","CWB29","Adolescents (15-year-olds) who want top grades at school (%)","2015","2015",89.2,,
"AUS","Australia","CWB31","Adolescents (15-year-olds) who expect to complete a university degree (%)","2015","2015",54.2,,
"AUS","Australia","CWB32","Adolescents (15-year-olds) who feel like they belong in school (%)","2015","2015",71.9,,
"AUS","Australia","CWB35A","Reading performance at age 15 (PISA)","2015","2015",502.9,,
"AUS","Australia","CWB35B","Mathematics performance at age 15 (PISA)","2015","2015",493.9,,
"AUS","Australia","CWB40","Adolescents (15-year-olds) who are high or extreme internet users (%)","2015","2015",69.2,,
"AUS","Australia","CWB40","Adolescents (15-year-olds) who are high or extreme internet users (%)","2018","2018",76,,
"AUS","Australia","CWB42","Adolescents (15-year-olds) who do unpaid work in the home, before or after school (%) ","2015","2015",72.2,,
"AUS","Australia","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2014","2014",18,,
"AUS","Australia","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2015","2015",18,,
"AUS","Australia","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2016","2016",18,,
"AUS","Australia","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2017","2017",18,,
"AUS","Australia","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2018","2018",18,,
"AUS","Australia","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2014","2014",2,,
"AUS","Australia","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2015","2015",2,,
"AUS","Australia","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2016","2016",2,,
"AUS","Australia","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2017","2017",2,,
"AUS","Australia","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2018","2018",2,,
"AUT","Austria","CWB1A","Children (0-17) living with two parents (%)","2014","2014",79.3,,
"AUT","Austria","CWB1A","Children (0-17) living with two parents (%)","2015","2015",81.3,,
"AUT","Austria","CWB1A","Children (0-17) living with two parents (%)","2016","2016",82.9,,
"AUT","Austria","CWB1A","Children (0-17) living with two parents (%)","2017","2017",84,,
"AUT","Austria","CWB1A","Children (0-17) living with two parents (%)","2018","2018",87.9,,
"AUT","Austria","CWB1B","Children (0-17) living with a single parent (%)","2014","2014",20.7,,
"AUT","Austria","CWB1B","Children (0-17) living with a single parent (%)","2015","2015",18.3,,
"AUT","Austria","CWB1B","Children (0-17) living with a single parent (%)","2016","2016",16.3,,
"AUT","Austria","CWB1B","Children (0-17) living with a single parent (%)","2017","2017",15.7,,
"AUT","Austria","CWB1B","Children (0-17) living with a single parent (%)","2018","2018",11.4,,
"AUT","Austria","CWB1C","Children (0-17) living in 'other' types of household (%)","2014","2014",0.1,,
"AUT","Austria","CWB1C","Children (0-17) living in 'other' types of household (%)","2015","2015",0.4,,
"AUT","Austria","CWB1C","Children (0-17) living in 'other' types of household (%)","2016","2016",0.8,,
"AUT","Austria","CWB1C","Children (0-17) living in 'other' types of household (%)","2017","2017",0.3,,
"AUT","Austria","CWB1C","Children (0-17) living in 'other' types of household (%)","2018","2018",0.7,,
"AUT","Austria","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2014","2014",64.3,,
"AUT","Austria","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2015","2015",63.2,,
"AUT","Austria","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2016","2016",64.6,,
"AUT","Austria","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2017","2017",65,,
"AUT","Austria","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2018","2018",65.6,,
"AUT","Austria","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2014","2014",29.4,,
"AUT","Austria","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2015","2015",29.3,,
"AUT","Austria","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2016","2016",27.7,,
"AUT","Austria","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2017","2017",27.8,,
"AUT","Austria","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2018","2018",27.5,,
"AUT","Austria","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2014","2014",6.3,,
"AUT","Austria","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2015","2015",7.5,,
"AUT","Austria","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2016","2016",7.7,,
"AUT","Austria","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2017","2017",7.2,,
"AUT","Austria","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2018","2018",7,,
"AUT","Austria","CWB8A","Adolescents (15-year-olds) who report talking to their parents before or after school (%)","2015","2015",94.4,,
"AUT","Austria","CWB9","Children (0-17) in overcrowded households (%)","2014","2014",24.4,,
"AUT","Austria","CWB9","Children (0-17) in overcrowded households (%)","2015","2015",24.6,,
"AUT","Austria","CWB9","Children (0-17) in overcrowded households (%)","2016","2016",24.6,,
"AUT","Austria","CWB9","Children (0-17) in overcrowded households (%)","2017","2017",24.5,,
"AUT","Austria","CWB16","Adolescents (15-year-olds) skipping either breakfast or dinner (%)","2015","2015",37.9,,
"AUT","Austria","CWB17A","Adolescents (15-year-olds) who report doing no physical activity outside of school (%)","2015","2015",6.1,,
"AUT","Austria","CWB17B","Adolescents (15-year-olds) who report regularly engaging in vigorous physical activity outside of school (%)","2015","2015",42.7,,
"AUT","Austria","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2014","2014",86.9,,
"AUT","Austria","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2015","2015",88.1,,
"AUT","Austria","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2016","2016",88.5,,
"AUT","Austria","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2017","2017",89.3,,
"AUT","Austria","CWB27","Adolescents (15-year-olds) with parents interested in and supportive of their education (%)","2015","2015",90.3,,
"AUT","Austria","CWB29","Adolescents (15-year-olds) who want top grades at school (%)","2015","2015",77.9,,
"AUT","Austria","CWB31","Adolescents (15-year-olds) who expect to complete a university degree (%)","2015","2015",27.1,,
