FACILITY,ADDRESS,CITY,STATE,ZIP,CREDENTIALID,LAWENFORCEMENT,New Georeferenced Column
NEW HAVEN POLICE DEPARTMENT,1 UNION AVE,NEW HAVEN,CT,06519-1721,1117409,true,POINT (-72.925135 41.29973600000001)
VERNON POLICE DEPARTMENT,725 HARTFORD TPKE,VERNON,CT,06066-5115,1165866,true,POINT (-72.46494500000001 41.839371)
ANSONIA POLICE DEPARTMENT,2 ELM ST,ANSONIA,CT,06401-3310,1075890,true,POINT (-73.073171 41.332809)
SOUTH WINDSOR POLICE DEPARTMENT,151 SAND HILL RD,SOUTH WINDSOR,CT,06074-2026,1157538,true,POINT (-72.551883 41.836636)
BRISTOL POLICE DEPARTMENT,131 NORTH MAIN STREET,BRISTOL,CT,06010,1424496,true,POINT (-72.946121 41.674226)
CLINTON POLICE DEPARTMENT,170 E MAIN ST,CLINTON,CT,06413-2116,1244132,true,POINT (-72.511842 41.275668)
MADISON POLICE DEPARTMENT,9 CAMPUS DR,MADISON,CT,06443-2562,1268362,true,POINT (-72.57469 41.295519)
EAST HAMPTON POLICE DEPARTMENT,1 COMMUNITY DRIVE,EAST HAMPTON,CT,06424-2038,1531447,true,POINT (-72.498785 41.601726)
CVS PHARMACY #377,915 POQUONNOCK RD,GROTON,CT,06340-4257,2154038,false,POINT (-72.051095 41.346665)
DESPP DIVISION OF STATE POLICE TROOP G,149 PROSPECT ST,BRIDGEPORT,CT,06604-4621,1342902,true,POINT (-73.191877 41.173261)
CVS PHARMACY #4149,54 E HIGH ST,EAST HAMPTON,CT,06424-1052,2154027,false,POINT (-72.49718100000001 41.584945)
HAMDEN POLICE DEPARTMENT,2900 Dixwell Avenue,Hamden,CT,06518,1599067,true,POINT (-72.903781 41.383609)
CVS PHARMACY #1027,372 W MAIN ST,NORWICH,CT,06360-5421,1676978,false,POINT (-72.092165 41.520924)
WINCHESTER POLICE DEPARTMENT,338 MAIN ST,WINSTED,CT,06098-1640,1201225,true,POINT (-73.068856 41.921167)
CVS PHARMACY #2572,1 HAWLEY LN,STRATFORD,CT,06614-1200,1676981,false,POINT (-73.153264 41.231119)
ENFIELD POLICE DEPARTMENT,293 ELM ST,ENFIELD,CT,06082-3907,1070221,true,POINT (-72.555095 41.99737)
STRATFORD POLICE,900 LONGBROOK AVE,STRATFORD,CT,06614-5007,1184244,true,POINT (-73.129242 41.200726)
MAIN STREET PHARMACY 3 LLC,2117 BOSTON AVE,BRIDGEPORT,CT,06610-3030,1676580,false,POINT (-73.155251 41.192539)
