state,all_percent,all_err,urban_percent,urban_err,rural_percent,rural_err
Utah,90.0,0.5,90.2,0.5,88.4,1.3
Washington,90.0,0.3,90.4,0.3,87.5,0.8
Colorado,89.4,0.3,89.9,0.3,86.1,1.0
New Hampshire,89.1,0.8,89.7,0.9,88.2,1.0
California,88.7,0.1,88.9,0.2,85.1,0.6
Delaware,88.4,0.8,89.1,0.9,84.8,2.0
Maryland,88.2,0.4,88.4,0.4,86.6,1.1
New Jersey,88.0,0.3,87.8,0.3,91.1,1.0
Massachusetts,87.9,0.3,87.8,0.4,90.2,1.0
Oregon,87.9,0.4,88.9,0.5,83.5,1.1
Alaska,87.5,0.8,90.4,1.2,81.6,1.7
Connecticut,87.0,0.6,86.6,0.6,90.1,1.2
Minnesota,86.8,0.3,87.8,0.5,83.8,0.4
Arizona,86.2,0.4,87.3,0.4,77.1,1.2
Idaho,86.2,0.7,86.9,0.8,84.4,1.2
District of Columbia,86.1,1.1,86.1,1.1,,
Nevada,85.9,0.5,86.0,0.5,83.9,2.3
Hawaii,85.7,0.9,86.4,0.9,79.2,3.6
Nebraska,85.7,0.5,87.2,0.7,81.9,1.0
Wyoming,85.7,1.3,86.8,1.5,83.6,2.1
Virginia,85.6,0.4,88.0,0.4,78.4,0.9
New York,85.3,0.2,85.4,0.2,84.2,0.6
Rhode Island,85.3,1.0,84.7,1.0,92.4,2.0
Florida,85.2,0.2,85.5,0.2,82.8,0.8
Illinois,85.1,0.3,85.5,0.3,82.0,0.6
United States,85.1,0.1,86.1,0.1,80.8,0.2
Texas,84.5,0.2,85.1,0.2,81.5,0.5
Ohio,84.5,0.3,85.1,0.3,82.2,0.5
Wisconsin,84.4,0.3,85.0,0.4,83.1,0.4
Kansas,84.3,0.5,85.2,0.6,82.0,1.0
Michigan,84.1,0.2,84.6,0.3,82.6,0.5
Pennsylvania,84.1,0.2,84.7,0.3,81.8,0.5
Maine,84.0,0.7,84.0,1.4,83.9,0.7
Georgia,83.7,0.4,85.6,0.4,78.0,0.9
Iowa,83.6,0.5,84.3,0.6,82.3,0.6
Montana,83.6,0.9,84.4,1.1,82.5,1.3
North Carolina,83.5,0.3,85.7,0.4,79.1,0.6
Missouri,82.9,0.4,84.8,0.4,78.3,0.7
Indiana,82.8,0.4,83.5,0.4,80.7,0.7
Vermont,82.5,1.0,82.8,1.9,82.3,1.3
South Dakota,82.1,1.0,83.6,1.4,80.0,1.1
Tennessee,82.1,0.4,83.5,0.5,79.2,0.8
Oklahoma,81.9,0.4,84.2,0.5,77.4,0.6
Kentucky,81.7,0.5,85.2,0.7,76.4,0.8
South Carolina,81.5,0.5,83.9,0.6,76.5,1.0
North Dakota,80.3,1.3,81.8,1.7,78.2,1.5
Alabama,79.3,0.5,81.4,0.6,76.3,0.9
West Virginia,79.0,0.8,81.7,1.1,76.1,1.1
Louisiana,78.1,0.5,79.3,0.6,74.7,1.2
Arkansas,76.9,0.6,79.3,0.9,73.7,0.9
New Mexico,76.9,0.8,79.0,1.0,69.1,1.5
Mississippi,76.3,0.7,80.3,0.8,72.2,1.3
