wz_ln_closure,objectid_1,crn,district,county,municipality,crash_year,crash_month,day_of_week,time_of_day,hour_of_day,illumination,weather,road_condition,collision_type,relation_to_road,work_zone_type,work_zone_loc,work_zone_ind,intersect_type,tcd_type,location_type,urban_rural,fatal_count,injury_count,person_count,total_units,sch_bus_ind,sch_zone_ind,latitude,longitude,arrival_tm,cons_zone_spd_lim,dispatch_tm,est_hrs_closed,lane_closed,ln_close_dir,ntfy_hiwy_maint,spec_juris_cd,tcd_func_cd,tfc_detour_ind,workers_pres,wz_close_detour,wz_flagger,wz_law_offcr_ind,objectid,wz_moving,wz_other,wz_shlder_mdn,vehicle_count,automobile_count,motorcycle_count,bus_count,small_truck_count,heavy_truck_count,suv_count,van_count,bicycle_count,maj_inj_count,mod_inj_count,min_inj_count,tot_inj_count,unk_inj_deg_count,unk_inj_per_count,driver_count_16yr,driver_count_17yr,driver_count_18yr,driver_count_19yr,driver_count_20yr,driver_count_50_64yr,driver_count_65_74yr,driver_count_75plus,unbelted_occ_count,unb_death_count,unb_maj_inj_count,belted_death_count,belted_maj_inj_count,mcycle_death_count,mcycle_maj_inj_count,bicycle_death_count,bicycle_maj_inj_count,ped_count,ped_death_count,ped_maj_inj_count,max_severity_level,comm_veh_count,dec_lat,dec_long,rdwy_surf_type_cd,county_name
 ,9498,2016019772,6,67,67301,2016,2,2,1515,15,1,2,1,8,1, , ,N,1,2,0,3,0,1,2,2,N,N,40 03:45.914,75 03:27.576,1530, ,1525, ,0, ,N, ,3, , , , , ,128198, , , ,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,40.0628,-75.0577, , 
 ,9570,2016013724,6,67,67301,2016,1,3,1100,11,1,1,0,5,1, , ,N,1,2,3,3,0,1,2,2,N,N,40 04:55.794,74 58:00.797,1135, ,1127, ,0, ,N, ,3, , , , , ,128432, , , ,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,40.0822,-74.9669, , 
 ,9642,2016038282,6,67,67301,2016,3,5,632,6,5,1,0,4,1, , ,N,0,0,0,3,0,0,2,2,N,N,39 58:30.439,75 11:40.428,641, ,634, ,0, , , ,0, , , , , ,128688, , , ,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39.9751,-75.1946, , 
 ,9714,2016052220,6,67,67301,2016,2,5,1900,19,3,1,0,0,1, , ,N,0,0,0,3,0,1,1,2,N,N,40 02:08.664,75 13:01.515,0, ,0, ,0, ,N, ,0, , , , , ,128842, , , ,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,40.0357,-75.2171, , 
 ,9786,2016087187,6,67,67301,2016,8,6,1535,15,1,1,0,8,1, , ,N,1,2,0,3,0,1,3,2,N, ,39 57:03.938,75 10:19.451,1545, ,1538, ,0, , , ,3, , , , , ,128975, , , ,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,39.9511,-75.1721, , 
 ,9858,2016048649,6,67,67301,2016,4,5,815,8,1,1,0,4,1, , ,N,2,3,0,3,0,2,4,2,N,N,39 58:20.021,75 13:33.541,834, ,832, ,0, ,N, ,3, , , , , ,129135, , , ,2,1,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,39.9722,-75.226, , 
 ,9930,2016017030,6,67,67301,2016,1,4,1850,18,3,1,1,4,1, , ,N,1,2,0,3,0,1,2,2,N,N,39 59:05.784,75 09:29.717,1855, ,1855, ,0, ,N, ,3, , , , , ,129301, , , ,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,39.9849,-75.1583, , 
 ,9019,2016026138,6,67,67301,2016,2,6,855,8,1,1,0,6,1, , ,N,0,0,0,3,0,3,11,2,N,N,40 00:44.252,75 10:31.467,903, ,858, ,0, ,N, ,0, , , , , ,129739, , , ,2,1,0,0,0,0,0,1,0,1,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,40.0123,-75.1754, , 
 ,1,2017037489,6,67,67301,2017,3,3,139,1,3,4,3,1,1, , ,N,1,2,0,3,0,2,3,2,N, ,40 02:40.636,75 03:16.819,200, ,140,2,1,3, , ,2,N, , , , ,849, , , ,2,1,0,0,0,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,1,40.0446,-75.0547, ,Philadelphia
 ,2,2017014006,6,67,67301,2017,1,5,700,7,3,1,0,4,1, , ,N,1,3,0,3,0,1,2,2,N, ,39 58:09.631,75 08:35.678,739, ,730, ,0, , , ,3, , , , , ,873, , , ,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,39.9693,-75.1432, ,Philadelphia
 ,3,2017037513,6,67,67301,2017,3,7,1458,14,1,1,0,4,1, , ,N,1,3,0,3,0,2,2,2,N, ,40 02:56.392,75 04:14.501,1507, ,1500, ,0, , , ,3, , , , , ,899, , , ,2,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,40.049,-75.0707, ,Philadelphia
 ,4,2017058044,6,67,67301,2017,5,6,1825,18,1,1,0,6,2, , ,N,0,0,0,3,0,0,3,2,N,N,39 54:12.207,75 09:01.382,1828, ,1828,1,2,1, , ,0,N, , , , ,909, , , ,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9034,-75.1504, ,Philadelphia
 ,5,2017005313,6,67,67301,2017,1,4,0,0,2,2,1,1,1, , ,N,0,0,0,3,0,1,2,2,N,N,40 03:04.474,74 59:21.013,119, ,104, ,0, , , ,0, , , , , ,915, , , ,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,40.0512,-74.9892, ,Philadelphia
 ,6,2017041234,6,67,67301,2017,3,6,1003,10,1,2,1,8,1, , ,N,0,0,0,3,0,1,2,2,N,N,39 56:06.594,75 09:15.253,1015, ,1013, ,0, ,N, ,0, , , , , ,925, , , ,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,39.9352,-75.1542, ,Philadelphia
 ,7,2017028901,6,67,67301,2017,2,4,1315,13,1,1,0,4,1, , ,N,0,0,7,3,0,1,3,2,N,N,40 04:52.138,75 02:20.765,1322, ,1321, ,0, ,N, ,0, , , , , ,972, , , ,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,40.0811,-75.0391, ,Philadelphia
 ,8,2017041263,6,67,67301,2017,4,1,1429,14,1,1,0,4,1, , ,N,0,0,7,3,0,1,2,2,N, ,40 04:28.636,75 04:27.060,1504, ,1456, ,0, , , ,0, , , , , ,978, , , ,2,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,40.0746,-75.0741, ,Philadelphia
 ,9,2017055578,6,67,67301,2017,4,5,815,8,1,1,0,4,1, , ,N,2,8,0,3,0,0,2,2,N,N,39 55:06.769,75 11:03.739,824, ,824, ,0, ,N, ,3, , , , , ,999, , , ,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9185,-75.1844, ,Philadelphia
 ,10,2017071744,6,67,67301,2017,2,6,1500,15,1,1,0,1,1, , ,N,0,2,0,3,0,1,2,2,N,N,39 56:49.710,75 13:36.187,0, ,0, ,0, ,N, ,3, , , , , ,1007, , , ,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,39.9471,-75.2267, ,Philadelphia
 ,11,2017012393,6,67,67301,2017,1,2,1416,14,1,1,0,4,1, , ,N,0,0,0,3,0,3,6,3,N,N,40 02:01.012,75 01:11.813,1433, ,1417,2,2,1, , ,0,Y, , , , ,1009, , , ,3,3,0,0,0,0,0,0,0,0,1,0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,40.0336,-75.0199, ,Philadelphia
 ,12,2017068311,6,67,67301,2017,6,5,742,7,1,1,0,5,1, , ,N,0,0,0,3,0,2,3,2,N,N,40 01:27.283,75 01:50.962,751, ,745, ,0, , , ,0, , , , , ,1053, , , ,2,1,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,40.0242,-75.0308, ,Philadelphia
 ,13,2017048718,6,67,67301,2017,5,2,1329,13,1,1,0,5,1, , ,N,0,0,0,3,0,0,3,2,N,N,40 02:57.846,74 59:42.146,1421, ,1359, ,0, , , ,0, , , , , ,1072, , , ,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0494,-74.995, ,Philadelphia
 ,14,2017030828,6,67,67301,2017,3,4,159,1,3,1,0,1,1, , ,N,0,0,0,3,0,4,4,2,N,N,39 55:45.317,75 10:07.238,159, ,159,1,2,2,N, ,0,Y, , , , ,1084, , , ,2,1,0,0,0,0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,39.9293,-75.1687, ,Philadelphia
 ,15,2017023156,6,67,67301,2017,2,3,1513,15,1,1,0,5,1, , ,N,1,2,0,3,0,2,3,2,N,N,39 54:50.789,75 08:59.633,1551, ,1538,1,1,7,N, ,3,N, , , , ,1111, , , ,2,1,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,39.914,-75.1499, ,Philadelphia
 ,16,2017010595,6,67,67301,2017,1,7,9999,99,1,4,3,4,9, , ,N,1,2,0,3,0,1,2,2,N,N,39 54:11.988,75 14:35.285,1237, ,1237, ,0, ,N, ,3, , , , , ,1115, , , ,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,39.9033,-75.2431, ,Philadelphia
 ,17,2017029735,6,67,67301,2017,3,7,2053,20,3,2,1,4,1, , ,N,1,2,0,3,0,1,7,3,N,N,39 59:04.850,75 09:23.377,2056, ,2054,2,1,2,N, ,3,N, , , , ,1119, , , ,3,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,39.9847,-75.1565, ,Philadelphia
 ,18,2017055559,6,67,67301,2017,4,3,1229,12,1,2,1,4,1, , ,N,1,2,0,3,0,0,3,2,N,N,39 54:59.771,75 10:09.201,1236, ,1231, ,0, , , ,3, , , , , ,1141, , , ,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9165,-75.1693, ,Philadelphia
