day,year,high,low,rain,snow,date,day_num,month_num,dow,dow_name,month
January 1,2005,64,39,0.0,0.0,2005-01-01,1,1,5,Saturday,January
January 2,2005,47,33,0.01,0.0,2005-01-02,2,1,6,Sunday,January
January 3,2005,57,40,0.06,0.0,2005-01-03,3,1,0,Monday,January
January 4,2005,55,44,0.0,0.0,2005-01-04,4,1,1,Tuesday,January
January 5,2005,47,36,0.62,0.0,2005-01-05,5,1,2,Wednesday,January
January 6,2005,41,36,0.12,0.0,2005-01-06,6,1,3,Thursday,January
January 7,2005,43,36,0.0,0.0,2005-01-07,7,1,4,Friday,January
January 8,2005,46,36,0.25,0.0,2005-01-08,8,1,5,Saturday,January
January 9,2005,40,37,0.0,0.0,2005-01-09,9,1,6,Sunday,January
January 10,2005,50,34,0.0,0.0,2005-01-10,10,1,0,Monday,January
January 11,2005,42,34,0.33,0.0,2005-01-11,11,1,1,Tuesday,January
January 12,2005,46,40,0.0,0.0,2005-01-12,12,1,2,Wednesday,January
January 13,2005,66,43,0.06,0.0,2005-01-13,13,1,3,Thursday,January
January 14,2005,66,36,1.75,0.0,2005-01-14,14,1,4,Friday,January
January 15,2005,36,26,0.0,0.0,2005-01-15,15,1,5,Saturday,January
January 16,2005,33,27,0.0,0.0,2005-01-16,16,1,6,Sunday,January
January 17,2005,28,17,0.0,0.0,2005-01-17,17,1,0,Monday,January
January 18,2005,19,11,0.0,0.0,2005-01-18,18,1,1,Tuesday,January
January 19,2005,24,11,0.04,1.0,2005-01-19,19,1,2,Wednesday,January
January 20,2005,33,22,0.0,0.0,2005-01-20,20,1,3,Thursday,January
January 21,2005,22,10,0.0,0.0,2005-01-21,21,1,4,Friday,January
January 22,2005,22,7,0.88,10.8,2005-01-22,22,1,5,Saturday,January
January 23,2005,21,10,0.14,1.8,2005-01-23,23,1,6,Sunday,January
January 24,2005,23,3,0.03,0.6,2005-01-24,24,1,0,Monday,January
January 25,2005,34,13,0.0,0.0,2005-01-25,25,1,1,Tuesday,January
January 26,2005,39,23,0.01,0.0,2005-01-26,26,1,2,Wednesday,January
January 27,2005,23,10,0.0,0.0,2005-01-27,27,1,3,Thursday,January
January 28,2005,25,6,0.0,0.0,2005-01-28,28,1,4,Friday,January
January 29,2005,31,9,0.0,0.1,2005-01-29,29,1,5,Saturday,January
January 30,2005,36,26,0.15,1.3,2005-01-30,30,1,6,Sunday,January
January 31,2005,36,22,0.0,0.0,2005-01-31,31,1,0,Monday,January
February 1,2005,40,16,0.0,0.0,2005-02-01,1,2,1,Tuesday,February
February 2,2005,41,16,0.0,0.0,2005-02-02,2,2,2,Wednesday,February
February 3,2005,43,26,0.0,0.0,2005-02-03,3,2,3,Thursday,February
February 4,2005,45,32,0.07,0.6,2005-02-04,4,2,4,Friday,February
February 5,2005,53,34,0.0,0.0,2005-02-05,5,2,5,Saturday,February
February 6,2005,52,32,0.0,0.0,2005-02-06,6,2,6,Sunday,February
February 7,2005,56,27,0.0,0.0,2005-02-07,7,2,0,Monday,February
February 8,2005,54,32,0.0,0.0,2005-02-08,8,2,1,Tuesday,February
February 9,2005,57,37,0.01,0.0,2005-02-09,9,2,2,Wednesday,February
February 10,2005,46,34,0.05,0.0,2005-02-10,10,2,3,Thursday,February
February 11,2005,41,29,0.0,0.0,2005-02-11,11,2,4,Friday,February
February 12,2005,44,28,0.0,0.0,2005-02-12,12,2,5,Saturday,February
February 13,2005,44,29,0.0,0.0,2005-02-13,13,2,6,Sunday,February
February 14,2005,52,35,0.97,0.0,2005-02-14,14,2,0,Monday,February
February 15,2005,57,41,0.0,0.0,2005-02-15,15,2,1,Tuesday,February
February 16,2005,62,36,0.13,0.0,2005-02-16,16,2,2,Wednesday,February
February 17,2005,42,29,0.0,0.0,2005-02-17,17,2,3,Thursday,February
February 18,2005,31,24,0.0,0.0,2005-02-18,18,2,4,Friday,February
February 19,2005,33,17,0.0,0.0,2005-02-19,19,2,5,Saturday,February
February 20,2005,40,22,0.16,0.5,2005-02-20,20,2,6,Sunday,February
February 21,2005,40,31,0.4,2.3,2005-02-21,21,2,0,Monday,February
February 22,2005,42,34,0.0,0.0,2005-02-22,22,2,1,Tuesday,February
February 23,2005,41,29,0.02,0.0,2005-02-23,23,2,2,Wednesday,February
February 24,2005,32,24,0.28,3.7,2005-02-24,24,2,3,Thursday,February
February 25,2005,34,20,0.02,1.0,2005-02-25,25,2,4,Friday,February
February 26,2005,42,21,0.0,0.0,2005-02-26,26,2,5,Saturday,February
February 27,2005,36,23,0.0,0.0,2005-02-27,27,2,6,Sunday,February
