race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,race_cat,gender_cat,O,C,E,A,N,E_pct,A_pct,C_pct,N_pct,O_pct
3,53,1,1,1,1,US,4,4,5,4,5,5,4,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,4,5,4,5,5,5,5,5,4,5,4,5,4,5,3,5,5,5,4,2,5,5,Caucasian (European),male,43,47,44,46,49,93,85,97,99,70
13,46,1,2,1,1,US,2,4,3,3,3,3,1,1,1,1,4,3,2,2,3,2,3,4,4,2,5,3,3,4,2,4,4,3,4,3,4,5,3,4,3,5,5,5,4,4,3,3,3,3,2,3,3,1,3,2,Other,female,26,42,22,35,29,20,27,86,50,2
1,14,2,2,1,1,PK,5,5,1,2,5,5,1,1,5,5,1,1,1,5,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,1,5,5,5,5,5,5,5,5,Mixed Race,female,45,49,35,38,14,68,42,98,3,81
3,19,2,2,1,1,RO,2,1,2,2,3,2,3,2,4,1,1,4,2,2,2,1,1,1,2,1,4,5,2,4,3,5,3,4,4,3,3,3,4,1,1,2,5,2,2,3,4,3,5,4,4,4,5,2,5,5,Caucasian (European),female,41,26,22,37,17,20,37,16,8,58
11,25,2,2,1,2,US,3,5,3,3,3,5,3,5,3,1,3,3,3,4,3,3,3,3,3,2,1,5,3,5,5,5,5,5,5,5,3,5,5,3,3,5,1,3,3,3,3,5,1,5,3,5,3,1,5,3,"South East Asian (Chinese, Thai, Malay, Filipino, etc)",female,34,34,34,44,30,64,76,52,54,20
13,31,1,2,1,2,US,1,1,2,2,1,3,2,2,1,1,5,5,2,5,5,2,2,5,1,4,4,2,3,4,3,4,3,5,5,3,2,1,4,3,3,2,5,3,5,3,4,4,1,3,3,1,5,4,5,3,Other,female,33,31,16,36,36,7,32,37,77,17
5,20,1,2,1,5,US,5,5,5,5,5,5,5,2,4,5,4,4,4,4,4,4,3,4,4,4,1,5,5,5,5,5,5,5,4,5,2,2,3,3,3,3,3,3,3,3,3,5,5,5,4,5,4,3,3,4,Caucasian (Middle East),female,41,28,46,45,39,96,80,23,86,58
4,23,2,1,1,2,IN,4,3,5,3,5,5,4,3,4,3,5,4,2,4,5,5,5,5,5,5,4,5,5,4,3,3,5,3,4,5,4,4,5,5,4,5,4,5,3,5,3,5,5,5,4,5,5,3,2,5,Caucasian (Indian),male,42,44,39,41,45,80,59,91,96,64
5,39,1,2,3,4,US,3,5,5,5,5,5,5,4,5,3,4,4,1,3,3,1,1,2,3,3,5,5,5,5,5,5,5,5,5,4,4,3,5,4,5,4,5,4,4,3,3,3,5,3,5,5,5,3,4,5,Caucasian (Middle East),female,41,41,45,49,25,94,96,83,34,58
3,18,1,2,1,5,US,1,2,2,1,2,2,1,2,1,1,1,2,1,2,3,2,3,4,3,2,4,3,5,4,4,4,3,3,3,2,5,4,4,4,3,4,4,4,4,4,4,4,5,4,4,5,4,3,4,4,Caucasian (European),female,41,40,15,35,23,5,27,80,26,58
3,17,2,2,1,1,IT,1,1,2,1,1,2,1,2,1,1,1,3,1,3,4,1,3,3,2,3,4,4,4,4,5,5,5,4,3,3,3,2,3,2,1,1,3,3,3,3,5,3,5,3,4,5,3,5,4,5,Caucasian (European),female,42,24,13,41,24,2,59,10,30,64
13,15,2,1,1,1,IN,3,3,5,3,3,3,2,2,3,3,5,5,3,3,4,3,4,3,4,2,2,4,4,2,1,5,4,5,4,4,3,3,4,3,3,1,3,3,3,4,3,5,4,5,4,1,4,3,4,5,Other,male,38,30,30,35,36,49,27,32,77,40
